movie_id,platform,age_0+,age_13+,age_16+,age_18+,age_7+,age_unknown,availability_multi_platform,availability_single_platform
316,Netflix,0,0,1,0,0,0,0,1
317,Netflix,0,0,0,1,0,0,0,1
318,Netflix,0,1,0,0,0,0,1,0
319,Netflix,0,0,0,1,0,0,1,0
320,Netflix,0,1,0,0,0,0,0,1
321,Netflix,0,0,0,1,0,0,0,1
322,Netflix,0,0,0,1,0,0,0,1
323,Netflix,0,0,0,1,0,0,0,1
324,Netflix,0,1,0,0,0,0,0,1
325,Netflix,0,0,0,0,0,1,0,1
326,Netflix,0,0,0,1,0,0,0,1
327,Netflix,0,0,0,0,1,0,1,0
328,Netflix,0,0,0,1,0,0,1,0
329,Netflix,0,0,1,0,0,0,0,1
330,Netflix,0,1,0,0,0,0,0,1
331,Netflix,0,1,0,0,0,0,0,1
332,Netflix,0,0,0,1,0,0,0,1
333,Netflix,0,1,0,0,0,0,0,1
334,Netflix,0,0,0,0,1,0,0,1
335,Netflix,0,0,0,1,0,0,1,0
336,Netflix,0,0,0,0,0,1,0,1
337,Netflix,0,0,0,1,0,0,0,1
338,Netflix,0,0,0,1,0,0,0,1
339,Netflix,0,1,0,0,0,0,0,1
340,Netflix,0,0,0,1,0,0,0,1
341,Netflix,0,0,0,1,0,0,0,1
342,Netflix,0,0,0,1,0,0,0,1
343,Netflix,0,0,0,1,0,0,0,1
344,Netflix,0,0,0,1,0,0,0,1
345,Netflix,0,0,0,1,0,0,0,1
346,Netflix,0,0,0,1,0,0,0,1
347,Netflix,0,0,0,1,0,0,0,1
348,Netflix,0,0,0,1,0,0,0,1
349,Netflix,0,0,0,1,0,0,0,1
350,Netflix,0,0,0,1,0,0,0,1
351,Netflix,0,0,0,1,0,0,0,1
352,Netflix,0,0,0,1,0,0,0,1
353,Netflix,0,0,0,1,0,0,0,1
354,Netflix,0,0,0,0,1,0,0,1
355,Netflix,0,1,0,0,0,0,0,1
356,Netflix,0,0,1,0,0,0,0,1
357,Netflix,0,0,0,1,0,0,0,1
